0,CombatZoneResize,241,226,406,391,TLResume,,,,
0,HeartTeleport,320,304,,,,,,,
0,HeartMode,0,,,,,,,,
0,TLPause,,,,,,,,,
0,SET,Loop,10,,,,,,,
0,JMPZ,30,$Loop,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,
0,RND,Direction,4,,,,,,,
0,ADD,Jump,$Direction,1,,,,,,
0,JMPREL,$Jump,,,,,,,,
0,JMPREL,4,,,,,,,,
0,JMPREL,6,,,,,,,,
0,JMPREL,8,,,,,,,,
0,JMPREL,10,,,,,,,,
0,SansBody,HandUp,,,,,,,,
0,GasterBlaster,2,289,0,289,133,90,0.4,0,DownBlast
0,JMPREL,10,,,,,,,,
0,SansBody,HandRight,,,,,,,,
0,GasterBlaster,2,640,276,499,276,180,0.4,0,RightBlast
0,JMPREL,7,,,,,,,,
0,SansBody,HandDown,,,,,,,,
0,GasterBlaster,2,349,640,349,484,270,0.4,0,UpBlast
0,JMPREL,4,,,,,,,,
0,SansBody,HandLeft,,,,,,,,
0,GasterBlaster,2,0,346,139,346,0,0.4,0,LeftBlast
0,JMPREL,1,,,,,,,,
0.26666,SansSlam,$Direction,,,,,,,,
0.15,BoneStab,$Direction,25,0.4,0,,,,,
0.3,JMPABS,6,,,,,,,,
0,EndAttack,,,,,,,,,
